$101 MILLION AND ABOVE
Gates Millennium Scholars program,the Bill & Melinda Gates Foundation, $1 billion over 20 years; cash; 1999*
Duke University,Peter M. and Ruth Virginia Lilly Nicholas, $72 million; nature of gift not disclosed; 2004*

California Institute of Technology,Rea and Lela Axline, $71 million; cash; 1999

Harvard University,John L. and Frances Lehman Loeb, $70.5 million; cash; 1995

California Institute of Technology,the W.M. Keck Foundation, $70 million; cash; 1985

Indiana University system,Gene Cox, $70 million; nature of gift not disclosed; 2005*

Liberty University,Arthur and Angela Williams, $70 million; cash; 1997

Oral Roberts University,Mart Green, $70 million; nature of gift not disclosed; 2007*

Stanford University,David and Lucile Packard, $70 million; stock and cash; 1986

University of Cincinnati Medical Center,the estate of William A. French, $70 million; trust; 1999

University of Washington,the Bill & Melinda Gates Foundation, $70 million; cash; 2003

University of Hawaii,Jay H. Shidler, $69 million; cash, securities, and commercial-property ownership interests and lease fees; 2014*

Carnegie Mellon University,the David A. Tepper Charitable Foundation, $67 million; nature of gift not disclosed; 2013*

Medical College of Georgia Foundation,the estate and foundation of J. Harold Harrison, $66 million; nature of gift not disclosed; 2013*

University of Vermont College of Medicine,Robert and Helen Larner, $66 million; bequest commitment; 2016*

California Institute of Technology,the W.M. Keck Foundation, $65.3 million; cash; 1991

Purdue University,an anonymous bequest, $65 million; nature of gift not disclosed; 2013*

University of California at Santa Barbara,Charlie Munger, $65 million; nature of gift not disclosed; 2014*

University of Virginia,the estate of David A. Harrison III and Mary Harrison, $64 million; cash; 2002

Oklahoma State University,T. Boone Pickens, $63 million; cash; 2008

University of Iowa,the Roy J. Carver Charitable Trust, $63 million; cash; 2002*

University of Virginia,Frank Batten Sr., $62 million; stock; 1999

Bard College,the Open Society Foundation, $60 million; nature of gift not disclosed; 2011*

California Polytechnic State University at San Luis Obispo,an anonymous donor, $60 million; bequest; 2007*

College of Charleston,Guy E. Beatty Jr., $60 million; estate trust; 2008*

Columbia University,John W. Kluge, $60 million; cash, stock, and bonds; 1993

Georgetown University Medical Center,the estate of Harry A. Toulmin Jr., $60 million; charitable trust; 1997*

Gordon College (Mass.),Dale E. and Sarah Ann Fowler, $60 million; bequest; 2007*

Harvard University Medical School,Isabelle and Leonard Goldenson, $60 million; planned gifts of an undisclosed nature; 1994†

Illinois Institute of Technology,Robert W. Galvin, $60 million; cash; 1996

Illinois Institute of Technology,Robert A. Pritzker, $60 million; cash; 1996

Kansas State University,the Jack Vanier family, $60 million; nature of gift not disclosed; 2014*

Northeastern University,Richard D’Amore and Alan McKim, $60 million; nature of gift not disclosed; 2012*

Stanford University,the estate of Richard W. (Ric) Weiland, $60 million; bequest; 2008

State University of New York at Stony Brook,the Simons Foundation, $60 million; cash; 2008*

Thunderbird School of Global Management,Samuel S. and Rita Garvin, $60 million; liquid assets; 2004*

University of California at Berkeley,the Simons Foundation, $60 million; nature of gift not disclosed; 2012*

University of Dubuque,Edward and Shirley Babka, $60 million; bequest; 2017*

University of Michigan at Ann Arbor,the Zell Family Foundation, $60 million; nature of gift not disclosed; 2015*

University of Mississippi,the Joseph C. Bancroft Charitable and Educational Fund, $60 million; trust; 1997

University of Saint Thomas (Minn.),Lee and Penny Anderson, $60 million; nature of gift not disclosed; 2007†

University of Southern California,Jane Anne Nohl, $60 million; bequest; 2007

University of Southern California,Suzanne Dworak-Peck, $60 million; nature of gift not disclosed; 2016

University of Texas at Austin,the Mulva Family Foundation, $60 million; cash; 2014*

Washington University in St. Louis,the Danforth Foundation, $60 million; cash and stock; 1977

Washington University in St. Louis,John F. McDonnell and the JSM Charitable Trust, $60 million; nature of gift not disclosed; 2010*

University of Cambridge (England),Ros and Steve Edwards, $58.7 million; nature of gift not disclosed; 2008*

Johns Hopkins University,Michael R. Bloomberg, $58.5 million; cash; 2001

Asbury Theological Seminary,Ralph Waldo Beeson, $58 million; stock and bonds; 1990

Gates Millennium Scholars program,the Bill & Melinda Gates Foundation, $58 million; cash; 2006

University of Kansas,Madison (Al) and Lila Self, $58 million; bequest; 2014

Oklahoma State University,Amy and Malone Mitchell III, $57.2 million; stock; 2008*

Auburn University,John and Rosemary Brown, $57 million; nature of gift not disclosed; 2015*

University of Michigan at Ann Arbor,A. Alfred Taubman, $56 million; nature of gift not disclosed; 2011*

Berry College,J. Bulow Campbell, $55 million; charitable trust; 1995

Carnegie Mellon University,David A. and Marlene Tepper, $55 million; nature of gift not disclosed; 2004*

Chapman University Dale E. Fowler School of Law,Dale E. and Sarah Ann Fowler, $55 million; real estate; 2013*

Columbia Theological Seminary,J. Bulow Campbell, $55 million; charitable trust; 1995

Curtis Institute of Music,Nina von Maltzahn, $55 million; nature of gift not disclosed; 2016*

Gonzaga University,Myrtle Woldson, $55 million; bequest; 2015

Johns Hopkins University,Michael R. Bloomberg, $55 million; cash; 1995

Oklahoma State University,T. Boone Pickens, $55 million; trust and planned bequest; 2003*

Princeton University,Peter B. Lewis, $55 million; nature of gift not disclosed; 1999†

University of Miami,Stuart Miller and family, $55 million; nature of gift not disclosed; 2015*

University of Texas at Austin,Ernest and Sarah Butler, $55 million; cash and planned bequest; 2008*

Washington University in St. Louis,the Danforth Foundation, $55 million; stock; 1986

Samford University,Ralph Waldo Beeson, $54.8 million; stock and bonds; 1990

Carnegie Mellon University,an anonymous donor, $54 million; nature of gift not disclosed; 1997

Colorado State University at Fort Collins,Walter Scott Jr., $53.3 million; nature of gift not disclosed; 2016*

Indiana University at Bloomington,the Lilly Endowment, $53 million; cash; 2004

University of Arkansas system,Winthrop Rockefeller Charitable Trust, $53 million and lease to ranch; 2004*

University of Cambridge (England),Ray Dolby, $52.6 million; bequest; 2015

University of Virginia,Ward Buchanan, $52.6 million; bequest; 2002

Purdue University,William E. Bindley, $52.5 million; cash and bequest; 2002*

Australian National University,Graham and Louise Tuckwell, $52.1 million; nature of gift not disclosed; 2013*

Duke-National University of Singapore Graduate Medical School,the estate of Tan Sri Khoo Teck Puat, $52 million; bequest; 2007

Texas A&M University,Dwight Look, $52 million; land; 1992

University of Southern California,Andrew J. and Erna Viterbi, $52 million; cash; 2004

Pepperdine University,Blanche Ebert Seaver, $51.7 million; cash and stock; 1996

University of Houston,John and Rebecca Moores, $51.4 million; stock; 1991

Marquette University,Raymond A. and Kathryn A. Eckstein, $51 million; personal and private family foundation resources; 2007*

Stanford University,Dudley Chambers, $51 million; bequest; 2006

 

$50 MILLION
American Technion Society,Andrew Viterbi, $50 million; nature of gift not disclosed; 2015*

Arizona State University,William Polk Carey, $50 million; nature of gift not disclosed; 2003†

Arizona State University,Ira A. Fulton, $50 million; nature of gift not disclosed; 2003

